Price,Estimated owners,Positive,Negative,Genres,Owners_clean,Total_reviews,Review_score
75,1,126,23,"Action,Adventure,Indie,RPG",1,149,0.8456375838926175
0,2,52,17,"Action,Massively Multiplayer,Free To Play,Early Access",2,69,0.7536231884057971
60,17,6822,2329,"Casual,Indie,RPG,Simulation",17,9151,0.7454922959239427
80,1,448,246,"Indie,Simulation,Strategy",1,694,0.6455331412103746
90,99,7276,2180,"Indie,Simulation,Strategy",99,9456,0.7694585448392555
82,1,101,35,"Adventure,Casual,Indie",1,136,0.7426470588235294
50,490,814,152,"Simulation,Strategy,Early Access",490,966,0.8426501035196687
20,63,1697,447,"Action,Indie,Simulation,Strategy,Early Access",63,2144,0.7915111940298507
0,1,219,116,Indie,1,335,0.6537313432835821
0,2,981,212,"Adventure,Indie,Free To Play",2,1193,0.8222967309304275
0,1,14,9,"Sports,Strategy",1,23,0.6086956521739131
25,1,83,0,"Casual,Indie",1,83,1.0
15,3,234,39,"Adventure,Casual,Indie",3,273,0.8571428571428571
45,1,43,1,Adventure,1,44,0.9772727272727273
35,1,25,3,Education,1,28,0.8928571428571429
0,1,631,190,"Casual,Indie,Simulation",1,821,0.7685749086479903
0,18,1241,568,"Action,Adventure,Casual,RPG,Early Access",18,1809,0.6860143725815367
0,1,93,25,"Indie,RPG,Strategy,Early Access",1,118,0.788135593220339
30,2,104,12,"Casual,Indie",2,116,0.896551724137931
0,49,178,134,"Audio Production,Software Training",49,312,0.5705128205128205
40,16,555,93,"Action,Indie,Strategy",16,648,0.8564814814814815
20,9,123,67,"Adventure,Casual,Indie,Simulation",9,190,0.6473684210526316
90,2,254,42,"Adventure,Indie",2,296,0.8581081081081081
50,1,8,0,Casual,1,8,1.0
60,30,456,193,"Simulation,Strategy",30,649,0.7026194144838213
0,1,239,90,"Casual,Indie,Simulation",1,329,0.7264437689969605
0,23,2738,416,Racing,23,3154,0.8681039949270767
0,4,1383,31,"Casual,Indie,RPG,Free To Play",4,1414,0.978076379066478
0,1,125,24,"Adventure,Casual,Indie,Strategy",1,149,0.8389261744966443
65,2,469,211,"Action,Adventure",2,680,0.6897058823529412
50,3,36,32,"RPG,Simulation,Strategy",3,68,0.5294117647058824
75,7,615,99,"Indie,Strategy",7,714,0.8613445378151261
73,2,274,82,"Casual,Indie,Simulation,Strategy",2,356,0.7696629213483146
0,5,181,16,"Adventure,Casual,Indie,Early Access",5,197,0.9187817258883249
30,9,629,111,"Action,Adventure,Indie,Simulation,Strategy,Early Access",9,740,0.85
0,2,38,19,"Action,Casual,Indie,Racing,Simulation,Sports",2,57,0.6666666666666666
75,1585,20258,1541,"Adventure,RPG",1585,21799,0.9293086838845819
0,1,2774,130,"Indie,Simulation,Free To Play",1,2904,0.9552341597796143
35,1,126,67,"Action,RPG",1,193,0.6528497409326425
60,265,114720,7938,"Action,Casual,Indie",265,122658,0.935283471114807
0,1,836,106,"Adventure,Casual,RPG",1,942,0.8874734607218684
0,13,30,8,"Free To Play,Indie,Early Access",13,38,0.7894736842105263
50,72,588,70,"Adventure,RPG,Strategy",72,658,0.8936170212765957
40,2,276,33,"Action,Indie",2,309,0.8932038834951457
35,3,73,27,Adventure,3,100,0.73
0,16,294,236,"Action,Adventure,Indie,RPG",16,530,0.5547169811320755
0,1,5,1,"Adventure,Indie,Simulation,Free To Play,Early Access",1,6,0.8333333333333334
55,9,243,277,"Casual,Indie,Simulation",9,520,0.4673076923076923
40,8,2331,109,"Action,Adventure,Indie",8,2440,0.955327868852459
75,1,154,30,"Action,Indie",1,184,0.8369565217391305
